Sample in Buffer,Sample in Window,TRIGGER,data/adc_F_data_package/state23[3:0],data/adc_F_data_package/next_state23[3:0],data/adc_F_data_package/adc_data[11:0],data/adc_F_data_package/fifo1[11:0],data/adc_F_data_package/data_fifo2_out[11:0],data/adc_F_data_package/data_fifo3_in[3:0],data/adc_F_data_package/rd_fifo2,data/adc_F_data_package/data_cnt_fifo2[7:0],data/adc_F_data_package/data_cnt_fifo2_use[7:0],data/adc_F_data_package/cnt23[11:0],data/adc_F_data_package/rd_fifo1_1,data/adc_F_data_package/rd_fifo1,data/adc_F_data_package/clk_125m,data/adc_F_data_package/full,data/adc_F_data_package/empty,data/adc_F_data_package/wr_rst_busy,data/adc_F_data_package/rd_rst_busy,data/adc_F_data_package/wr_fifo3,data/adc_F_data_package/fifo23_end,data/adc_F_data_package/rd_fifo3,data/adc_F_data_package/data_cnt_fifo3[9:0],data/adc_F_data_package/data_fifo3_out[3:0],data/adc_F_data_package/full3,data/adc_F_data_package/empty3
111,111,0,0,0,2016,7de,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
112,112,0,0,0,2016,7dc,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
113,113,0,0,0,2016,7dd,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
114,114,0,0,0,2016,7dd,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
115,115,0,0,0,2016,7dc,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
116,116,0,0,0,2016,7db,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
117,117,0,0,0,2017,7dc,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
118,118,0,0,0,2017,7de,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
119,119,0,0,0,2017,7dc,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
120,120,0,0,0,2018,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
121,121,0,0,0,2018,7dd,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
122,122,0,0,0,2017,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
123,123,0,0,0,2017,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
124,124,0,0,0,2018,7de,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
125,125,0,0,0,2018,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
126,126,0,0,0,2020,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
127,127,0,0,0,2019,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
128,128,0,0,0,2018,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
129,129,0,0,0,2020,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
130,130,0,0,0,2019,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
131,131,0,0,0,2020,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
132,132,0,0,0,2019,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
133,133,0,0,0,2019,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
134,134,0,0,0,2020,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
135,135,0,0,0,2019,7e2,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
136,136,0,0,0,2018,7e2,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
137,137,0,0,0,2016,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
138,138,0,0,0,2016,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
139,139,0,0,0,2016,7e2,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
140,140,0,0,0,2014,7e2,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
141,141,0,0,0,2013,7e4,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
