#Top: top   Floorplan: synth_1   Part: xcku040-ffva1156-2-i
#Generated by: DELL   on: Fri Aug  2 21:06:56 2024
#Build: Vivado v2017.4   by: xbuild   on: Fri Dec 15 20:55:39 MST 2017
#Package Version: FINAL 2014-05-08
#Package Pin Delay Version: VERS. 2.1 2013-09-19

################################################################################
#INVALID / INCOMPLETE PINOUT
#One or more ports below has an ERROR in its "Board Voltage" column.  Run DRCs for more info.
################################################################################

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to LVTTL standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
64,AF9,IOB_X1Y28,IO_L14P_T2L_N2_GC_64,127.583,128.866,,,board2_adc1_data_p[6],IN,P,board2_adc1_data_n[6],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AD10,IOB_X1Y32,IO_L16P_T2U_N6_QBC_AD3P_64,120.206,121.414,,,board2_adc1_data_p[5],IN,P,board2_adc1_data_n[5],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AK12,IOB_X1Y8,IO_L5P_T0U_N8_AD14P_64,109.205,110.303,,,board2_adc1_data_p[4],IN,P,board2_adc1_data_n[4],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AD11,IOB_X1Y19,IO_L10P_T1U_N6_QBC_AD4P_64,93.434,94.373,,,board2_adc1_data_p[3],IN,P,board2_adc1_data_n[3],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AM12,IOB_X1Y6,IO_L4P_T0U_N6_DBC_AD7P_64,132.839,134.174,,,board2_adc1_data_p[2],IN,P,board2_adc1_data_n[2],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AH13,IOB_X1Y15,IO_L8P_T1L_N2_AD5P_64,106.935,108.009,,,board2_adc1_data_p[1],IN,P,board2_adc1_data_n[1],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AN13,IOB_X1Y2,IO_L2P_T0L_N2_64,132.633,133.966,,,board2_adc1_data_p[0],IN,P,board2_adc1_data_n[0],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,G26,IOB_X1Y55,IO_L2N_T0L_N3_FWE_FCS2_B_65,196.852,198.831,,,board2_adc2_data_n[11],IN,N,board2_adc2_data_p[11],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,G27,IOB_X1Y53,IO_L1N_T0L_N1_DBC_RS1_65,198.180,200.172,,,board2_adc2_data_n[10],IN,N,board2_adc2_data_p[10],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,H26,IOB_X1Y61,IO_L5N_T0U_N9_AD14N_A23_65,182.540,184.374,,,board2_adc2_data_n[9],IN,N,board2_adc2_data_p[9],LVDS_25,,,,,,EQ_NONE,,,true,,,,
