Sample in Buffer,Sample in Window,TRIGGER,data/wr_en_fifo4,data/data_fifo4_in[3:0],data/rd_en_fifo4,data/data_fifo4_out[3:0],data/state34[3:0],data/next_state34[3:0],data/fifo34_start,data/cnt34[13:0],data/trigger,data/rd_en_ttt,data/ttt_out[63:0],data/pre_start,data/data_cnt[12:0],data/cnt_ch[3:0],data/adc_A_rd_fifo3,data/adc_A_data_cnt_fifo3[12:0],data/data_cnt_tem[12:0],data/sd_wr_start,data/event_cnt[63:0],data/full2F,data/led[3:0],data/ttt[63:0],data/ttt_cnt[4:0],data/rd_en_fifo5,data/data_length_fifo5[15:0],data/data_fifo5_out[3:0],data/rd_rst_busy,data/wr_rst_busy,data/full5,data/empty5
88,88,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8968,1f,0,6839,d,0,0,0,1
89,89,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8970,1f,0,6839,d,0,0,0,1
90,90,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8978,1f,0,6839,d,0,0,0,1
91,91,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8980,1f,0,6839,d,0,0,0,1
92,92,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8988,1f,0,6839,d,0,0,0,1
93,93,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8990,1f,0,6839,d,0,0,0,1
94,94,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8998,1f,0,6839,d,0,0,0,1
95,95,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba89a0,1f,0,6839,d,0,0,0,1
96,96,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba89a8,1f,0,6839,d,0,0,0,1
97,97,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba89b0,1f,0,6839,d,0,0,0,1
98,98,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba89b8,1f,0,6839,d,0,0,0,1
99,99,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba89c0,1f,0,6839,d,0,0,0,1
100,100,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba89c8,1f,0,6839,d,0,0,0,1
